City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
482,kirensk,57.7853,57.7853,-12.24,95,49,0.89,RU,1699542589
483,sorong,-0.8833,-0.8833,26.59,83,100,2.66,ID,1699542589
484,poltavka,54.3663,54.3663,2.57,68,100,3.55,RU,1699542589
485,darwin,-12.4611,-12.4611,28.99,71,20,3.6,AU,1699542589
486,qala i naw,34.9874,34.9874,13.17,44,1,0.75,AF,1699542590
487,taro,-8.3862,-8.3862,23.0,95,100,0.41,ID,1699542590
488,malango,-2.9627,-2.9627,19.56,97,87,1.01,ID,1699542590
489,zambezi,-13.5432,-13.5432,28.64,44,90,1.43,ZM,1699542591
490,yemetsk,63.4721,63.4721,-2.04,94,87,1.41,RU,1699542591
491,urangan,-25.3,-25.3,21.12,69,0,3.07,AU,1699542591
492,corn island,12.1694,12.1694,29.4,72,67,5.06,NI,1699542592
493,broome,42.2506,42.2506,11.05,78,100,3.6,US,1699542592
494,phayakkhaphum phisai,15.5163,15.5163,30.31,78,95,1.33,TH,1699542592
495,walvis bay,-22.9575,-22.9575,18.94,69,13,3.45,NA,1699542593
496,buwenge,0.6422,0.6422,22.6,76,100,0.48,UG,1699542593
497,blagoveshchensk,50.2667,50.2667,-15.66,92,20,1.0,RU,1699542593
498,saint-philippe,-21.3585,-21.3585,25.77,80,91,3.92,RE,1699542594
499,wewak,-3.5534,-3.5534,25.94,88,100,3.48,PG,1699542594
500,northam,51.0333,51.0333,9.81,92,100,14.14,GB,1699542594
501,kayangel,8.0823,8.0823,29.11,74,50,4.63,PW,1699542594
502,al ghayzah,16.2079,16.2079,27.9,54,8,3.74,YE,1699542595
503,antakya,36.2066,36.2066,22.9,82,100,2.1,TR,1699542595
504,kualakapuas,-3.0091,-3.0091,25.52,88,100,1.07,ID,1699542595
505,miguel ahumada,30.6167,30.6167,16.97,67,100,2.7,MX,1699542595
506,keita,14.7551,14.7551,35.62,7,96,1.41,NE,1699542596
507,oodweyne,9.4092,9.4092,24.97,45,29,6.87,SO,1699542596
508,broken hill,-31.95,-31.95,24.77,28,2,4.79,AU,1699542480
509,tahe,52.3333,52.3333,-9.54,91,100,2.04,CN,1699542596
510,kapuskasing,49.4169,49.4169,-2.02,93,99,3.8,CA,1699542597
511,virginia,37.5481,37.5481,20.08,72,75,4.63,US,1699542466
512,palangkaraya,-2.2,-2.2,23.56,96,98,0.85,ID,1699542597
513,kaka,37.3482,37.3482,16.67,37,99,5.75,TM,1699542598
514,evanston,42.0411,42.0411,8.56,59,20,3.09,US,1699542598
515,rio tuba,8.5061,8.5061,27.61,81,69,4.22,PH,1699542598
516,sandnessjoen,66.0217,66.0217,4.12,60,20,3.6,NO,1699542598
517,scottburgh,-30.2867,-30.2867,18.97,84,99,0.65,ZA,1699542599
518,paramirim,-13.4425,-13.4425,34.13,29,6,2.56,BR,1699542599
519,fisterra,42.9049,42.9049,15.57,71,100,7.15,ES,1699542599
520,plastun,44.7561,44.7561,4.6,93,100,2.58,RU,1699542599
521,kargasok,59.0556,59.0556,-3.35,93,25,4.92,RU,1699542600
522,gadzhiyevo,69.2551,69.2551,-7.52,93,90,3.97,RU,1699542600
523,cockburn town,21.4612,21.4612,29.98,62,40,7.2,TC,1699542558
524,selfoss,63.9331,63.9331,3.08,58,0,5.98,IS,1699542601
525,salalah,17.0151,17.0151,29.05,65,0,1.54,OM,1699542601
526,richards bay,-28.783,-28.783,20.85,72,72,3.0,ZA,1699542559
527,east ballina,-28.8667,-28.8667,18.78,88,20,5.1,AU,1699542602
528,acarau,-2.8856,-2.8856,32.02,54,21,9.63,BR,1699542602
529,bonthe,7.5264,7.5264,29.64,68,73,3.56,SL,1699542602
530,smara,26.7384,26.7384,30.94,17,5,4.25,EH,1699542603
531,elek,46.5333,46.5333,13.08,60,13,3.32,HU,1699542603
532,nemuro,43.3236,43.3236,12.04,84,96,11.46,JP,1699542604
533,cidade velha,14.9167,14.9167,28.26,51,75,7.2,CV,1699542604
534,nzega,-2.479,-2.479,16.56,93,61,0.21,RW,1699542604
535,lawton,34.6087,34.6087,11.95,65,100,8.23,US,1699542605
536,rajpipla,21.8667,21.8667,27.11,40,0,1.4,IN,1699542605
537,porto murtinho,-21.6989,-21.6989,42.81,22,71,4.59,BR,1699542306
538,jayapura,-2.5333,-2.5333,25.4,87,100,3.38,ID,1699542606
539,machali,-34.1833,-34.1833,25.09,30,82,2.47,CL,1699542607
540,grootfontein,-19.5667,-19.5667,33.88,19,71,6.9,NA,1699542607
541,paris,48.8534,48.8534,11.88,84,75,6.17,FR,1699541780
542,jabat,7.75,7.75,27.12,83,100,9.19,MH,1699542608
543,whitby,54.4877,54.4877,8.92,82,100,0.45,GB,1699542580
544,alexandria,31.2156,31.2156,22.65,68,90,5.11,EG,1699542403
545,toliara,-23.35,-23.35,24.86,69,93,5.59,MG,1699542608
546,ceerigaabo,10.6162,10.6162,19.46,43,17,3.91,SO,1699542609
547,champerico,14.3,14.3,32.3,79,40,1.24,GT,1699542609
548,howard springs,-12.497,-12.497,28.95,77,42,2.48,AU,1699542610
549,lae,-6.7221,-6.7221,25.0,86,96,1.06,PG,1699542610
550,sarakhs,36.5449,36.5449,16.5,31,78,5.04,IR,1699542611
551,mar del plata,-38.0023,-38.0023,22.13,43,0,5.14,AR,1699542472
552,alesund,62.4723,62.4723,7.41,65,0,3.09,NO,1699542611
553,shenjiamen,29.9576,29.9576,18.74,91,100,3.67,CN,1699542612
554,belem,-1.4558,-1.4558,32.02,58,75,3.6,BR,1699542612
555,akureyri,65.6835,65.6835,-0.68,93,100,1.27,IS,1699542612
556,cumana,10.4635,10.4635,29.79,63,14,1.11,VE,1699542613
557,ixtapa,20.7,20.7,27.9,79,99,0.45,MX,1699542587
558,saint-francois,46.4154,46.4154,12.69,73,0,2.57,FR,1699542613
559,yendi,9.4427,9.4427,36.52,28,100,1.98,GH,1699542613
560,robore,-18.3333,-18.3333,39.72,25,100,4.3,BO,1699542614
561,maragogi,-9.0122,-9.0122,29.12,54,29,5.87,BR,1699542614
562,hilo,19.7297,19.7297,23.12,85,75,2.57,US,1699542372
563,rumoi,43.9344,43.9344,10.3,85,17,4.41,JP,1699542615
564,suwayr,30.1171,30.1171,27.52,25,0,1.68,SA,1699542615
565,cururupu,-1.8283,-1.8283,30.59,63,66,3.63,BR,1699542615
566,illizi,26.4833,26.4833,33.27,6,1,1.33,DZ,1699542616
567,buka,40.8108,40.8108,11.76,47,86,2.27,UZ,1699542616
568,argo,37.6333,37.6333,20.44,72,16,1.77,GR,1699542617
569,hailey,43.5196,43.5196,-1.97,36,7,1.35,US,1699542617
570,vorkuta,67.5,67.5,0.35,98,100,6.1,RU,1699542617
571,road town,18.4167,18.4167,29.05,74,40,3.6,VG,1699542344
572,ananindeua,-1.3656,-1.3656,31.95,58,75,3.6,BR,1699542618
573,wajir,1.7471,1.7471,31.98,55,40,3.6,KE,1699542146
